Name,Datatype,Length,Precision,Not-null,Comments
JE_SOURCE_NAME,VARCHAR2,25,,Yes,Journal source name unique identifier.
LAST_UPDATE_DATE,TIMESTAMP,,,Yes,Who column: indicates the date and time of the last update of the row.
LAST_UPDATED_BY,VARCHAR2,64,,Yes,Who column: indicates the user who last updated the row.
CREATION_DATE,TIMESTAMP,,,Yes,Who column: indicates the date and time of the creation of the row.
CREATED_BY,VARCHAR2,64,,Yes,Who column: indicates the user who created the row.
LAST_UPDATE_LOGIN,VARCHAR2,32,,,Who column: indicates the session login associated to the user who last updated the row.
DESCRIPTION,VARCHAR2,240,,,Journal entry source description.
USER_JE_SOURCE_NAME,VARCHAR2,25,,Yes,Journal entry source user defined name.
LANGUAGE,VARCHAR2,4,,Yes,Indicates the code of the language into which the contents of the translatable columns are translated.
SOURCE_LANG,VARCHAR2,4,,Yes,Indicates the code of the language in which the contents of the translatable columns were originally created.
OBJECT_VERSION_NUMBER,NUMBER,,9,Yes,Used to implement optimistic locking. This number is incremented every time that the row is updated. The number is compared at the start and end of a transaction to detect whether another session has updated the row since it was queried.
SEED_DATA_SOURCE,VARCHAR2,512,,,"Source of seed data record. A value of 'BULK_SEED_DATA_SCRIPT' indicates that record was bulk loaded. Otherwise, specifies the name of the seed data file."
ORA_SEED_SET1,VARCHAR2,1,,Yes,Oracle internal use only. Indicates the edition-based redefinition (EBR) context of the row for SET1. Context values are Y or N.
ORA_SEED_SET2,VARCHAR2,1,,Yes,Oracle internal use only. Indicates the edition-based redefinition (EBR) context of the row for SET2. Context values are Y or N.
